ID	INDIVIDUAL_ID	PLATE_ID	WELL_ID	DATE	REGION	REEF	ZONING	Ysite	Xsite	Yind	Xind	SPECIES	LIFE_STAGE	FL	TL
Plec03_F04	T26296	Plec_03	F04	27/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9706667	-23.19201667	P. maculatus	Adult	275	290
Plec05_F02	T19732	Plec_05	F02	27/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.98685	-23.19296667	P. maculatus	Adult	290	310
Plec05_F11	T01531	Plec_05	F11	25/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.98569	-23.19089	P. maculatus	Adult	290	305
Plec06_H09	T16020	Plec_06	H09	28/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9128833	-23.16476667	P. maculatus	Adult	290	310
Plec03_E07	T16032	Plec_03	E07	29/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9724	-23.20105	P. maculatus	Adult	295	310
Plec03_E02	T19282	Plec_03	E02	30/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9729167	-23.19521667	P. maculatus	Adult	300	320
Plec30_F10	P.Ad-01311	Plec_30	F10	19/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.1982	150.9736	P. maculatus	Adult	304	320
Plec03_A03	T25960	Plec_03	A03	25/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.97265	-23.201	P. maculatus	Adult	305	324
Plec05_H09	T26770	Plec_05	H09	29/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9730833	-23.20151667	P. maculatus	Adult	305	321
Plec22_H03	P.Ad-01235	Plec_22	H03	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	310	325
Plec31_B07	P.Ad-01355	Plec_31	B07	20/05/12	Keppel Islands	Halfway Passage	MPZ	-23.19	150.97	-23.1894	150.9729	P. maculatus	Adult	310	331
Plec04_A08	BP_008	Plec_04	A08	28/02/09	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	NA	NA	P. maculatus	Adult	310	329
Plec04_A07	BP_007	Plec_04	A07	28/02/09	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	NA	NA	P. maculatus	Adult	311	330
Plec05_E09	T33335	Plec_05	E09	1/02/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.98035	-23.18868333	P. maculatus	Adult	311	329
Plec04_A06	BP_006	Plec_04	A06	28/02/09	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	NA	NA	P. maculatus	Adult	312	330
Plec05_C10	T26691	Plec_05	C10	31/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.97095	-23.1905	P. maculatus	Adult	313	325
Plec05_F05	T26313	Plec_05	F05	27/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.98495	-23.19158333	P. maculatus	Adult	313	330
Plec46_A05	P.Ad-01660	Plec_46	A05	28/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	315	335
Plec04_A03	BP_003	Plec_04	A03	28/02/09	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.18802	150.98002	P. maculatus	Adult	315	330
Plec04_A05	BP_005	Plec_04	A05	28/02/09	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	NA	NA	P. maculatus	Adult	318	333
Plec04_A04	BP_004	Plec_04	A04	28/02/09	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	NA	NA	P. maculatus	Adult	319	336
Plec05_B11	T26617	Plec_05	B11	27/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9709667	-23.19026667	P. maculatus	Adult	319	340
Plec30_A06	P.Ad-01244	Plec_30	A06	2/06/12	Keppel Islands	North Keppel Blue	HPZ	-23.09	150.9	-23.0874	150.8864	P. maculatus	Adult	320	341
Plec03_D01	T19289	Plec_03	D01	30/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9732167	-23.19881667	P. maculatus	Adult	320	338
Plec06_F11	T01321	Plec_06	F11	23/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	NA	NA	P. maculatus	Adult	320	335
