Title:,"Time Series, Area-Averaged of Sea Surface Temperature at 11 microns (Night) 8-daily 4 km [MODIS-Aqua ()"
User Start Date:,2002-07-04T00:00:00Z
User End Date:,2022-06-01T23:59:59Z
User Bounding Box:,"150.9219,-23.2471,150.9563,-23.2086"
Data Bounding Box:,"150.938,-23.2292,150.938,-23.2292"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-04T00:00:00Z&endtime=2022-06-01T23:59:59Z&bbox=150.9219,-23.2471,150.9563,-23.2086&data=MODISA_L3m_NSST_8d_4km_R2019_0_sst&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_NSST_8d_4km_R2019_0_sst):, -32767

time, mean_MODISA_L3m_NSST_8d_4km_R2019_0_sst
2002-07-04 00:00:10,19.0649986
2002-07-11 12:00:11,19.2399998
2002-07-19 12:40:01,19.3149986
2002-07-27 12:00:00,19.2099991
2002-08-06 15:25:00,19.6399994
2002-08-12 12:00:00,19.4200001
2002-08-20 12:40:00,19.3850002
2002-08-28 12:00:01,19.9399986
2002-09-05 12:15:01,21.6999989
2002-09-13 12:00:01,20.8149986
2002-09-21 12:10:01,21.7199993
2002-09-29 12:00:01,22.1199989
2002-10-07 12:15:01,22.4449997
2002-10-15 12:00:01,23.8850002
2002-10-23 12:10:01,23.5149994
2002-10-31 12:00:01,24.5799999
2002-11-08 12:10:00,25.2349987
2002-11-16 12:00:01,24.9099998
2002-11-24 12:10:00,25.3400002
2002-12-02 12:00:01,25.8449993
2002-12-10 12:10:00,26.5550003
2002-12-18 12:00:01,26.2199993
2002-12-26 12:10:00,-32767
2002-12-31 12:30:00,26.8249989
2003-01-08 12:15:01,26.2649994
2003-01-16 12:30:00,25.8499985
2003-01-24 12:15:01,26.1399994
2003-02-01 12:30:00,-32767
2003-02-09 12:15:01,26.4899998
2003-02-17 12:30:00,26.5949993
2003-02-25 12:15:01,25.8199997
2003-03-05 12:30:00,26.5299988
2003-03-13 12:15:00,26.2299995
2003-03-21 12:30:01,26.7999992
2003-03-29 12:15:00,26.8549995
2003-04-06 12:30:01,25.8249989
2003-04-14 12:15:01,25.75
2003-04-22 12:50:00,24.1399994
2003-04-30 12:15:01,23.8349991
2003-05-08 12:50:00,21.7799988
2003-05-16 12:15:01,22.7099991
2003-05-24 12:50:01,22.3999996
2003-06-01 12:15:01,21.7700005
2003-06-09 12:50:01,21.7700005
2003-06-17 12:15:01,20.8500004
2003-06-25 12:50:01,20.0599995
2003-07-03 12:15:00,19.7349987
2003-07-11 12:50:01,19.7399998
2003-07-19 12:15:00,19.5249996
2003-07-27 12:50:01,18.8699989
2003-08-04 12:15:01,18.8400002
2003-08-12 13:20:01,19.7950001
2003-08-20 12:15:01,20.0200005
2003-08-28 12:30:01,20.2999992
2003-09-05 12:15:01,20.8249989
2003-09-13 12:30:00,21.75
2003-09-21 12:15:01,22.4799995
2003-09-29 12:30:00,22.5749989
2003-10-07 12:15:00,23.5749989
2003-10-15 12:30:00,23.5949993
2003-10-23 12:15:00,24.4200001
2003-10-31 12:30:01,26.1099987
2003-11-08 12:15:00,24.9699993
2003-11-16 12:30:01,24.9399986
2003-11-24 12:15:00,26.1800003
2003-12-02 12:30:01,26.1049995
2003-12-10 12:15:00,26.8299999
2003-12-18 12:30:01,26.6749992
2003-12-26 12:15:00,27.4349995
2003-12-31 12:00:00,26.3050003
2004-01-08 12:50:00,28.3099995
2004-01-16 12:00:00,28.8899994
2004-01-24 12:50:00,28.9399986
2004-02-01 12:15:01,-32767
2004-02-09 12:50:00,27.2399998
2004-02-17 12:00:00,29.1299992
2004-02-25 12:50:00,28.5299988
2004-03-04 12:00:00,26.9300003
2004-03-12 12:00:01,27.2449989
2004-03-20 12:00:01,26.7600002
2004-03-28 12:00:01,25.8499985
2004-04-05 12:00:01,24.875
2004-04-13 12:00:01,24.5049992
